Term	Definition
pathway from nosed and mouthed to lungs, aired tubes	
pathway from nose and mouth to lungs, air tubes	
alienated	pushed away
alienate	push away
alienating	pushing away
alienate	push away
alienated	pushed away
alienate	push away
allergens	something like pollen that causes the body to react by sneezing or forming a rash; something that causes an allergic reactions
allergen	something like pollen that causes the body to react by sneezing or forming a rash; something that causes an allergic reaction
allergic	the body’s reaction to something
allergic reactions	bad reactions
allergic reaction	bad reaction
allergists	allergy doctors
allergist	allergy doctor
allergies	reactions
allergy	reaction
alleviated	lessened
alleviate	lessen
alleviating	lessening
alleviate	lessen
alleviated	lessened
alleviate	lessen
alopecias	hair losses
alopecia	hair loss
alterations	changes
alteration	change
alternates	take turnss
alternated	took turns
alternate	take turns
alternating	taking turns
alternate	take turns
alternated	taken turns
alternate	take turns
alternatives	options
alternative	option
alveoli	tiny air sacs in the lungs
amalgam or amalgam fillings	silver-colored fillings
amalgamated	put together
amalgamate	put together
amalgamating	putting together
amalgamate	put together
amalgamated	put together
amalgamate	put together
ambulated	walked
ambulate	walk
ambulating	walking
ambulate	walk
ambulated	walked
ambulate	walk
ambulatories	can walks
ambulatory	can walk
ameliorated	made 
ameliorate	make better
ameliorating	making 
ameliorate	make better
ameliorated	made 
ameliorate	make better
amended	changed
amend	change
amending	changing
amend	change
amended	changed
amend	change
amnesias	forgetfulnesses
amnesia	forgetfulness
amniocenteses	tests for a baby’s health before it’s born
amniocentesis	test for a baby’s health before it’s born
amniotic fluids	water
amniotic fluid	water
amyotrophic lateral scleroses	Lou Gehrig's Diseases
amyotrophic lateral sclerosis	Lou Gehrig's Disease
anaerobic exercises	exercises
anaerobic exercised	exercised
anaerobic exercise	exercise
anaerobic exercising	exercising
anaerobic exercise	exercise
anaerobic exercised	exercised
anaerobic exercise	exercise
anaerobic	needs lack of oxygen
analgesics	pain relievers
analgesic	pain reliever
anaphylaxes	shocks
anaphylaxis	shock
anemias	tireds
anemia	tired
anesthesias	numbing drugs
anesthesia	numbing drug
anginas	chest pains
angina	chest pain
annuals	yearlies
annual	yearly
annually	yearly
anomalies	defects
anomaly	defect
anorexias	eating disorders
anorexia	eating disorder
anterior teeth	front teeth
antibiotics	drugs
antibiotic	drug
antibodies	your body’s way to fight off infectionss
antibody	your body’s way to fight off infections
antifungal agents	drugs to treat fungus infections
antifungal agent	drug to treat fungus infections
antigens	germs
antigen	germ
anti-inflammatories	a drug to reduce swellings
anti-inflammatory	a drug to reduce swelling
antiphospholipid	antibody test a test to see if you’re at risk for blood clots
antivirals	medicines
antiviral	medicine
anti-virus medicine	medicine
anti-virus medicine	medicine
anti-virus medicine	medicine
anti-virus medicine	medicine
anti-virus medicine	medicine
anti-virus medicine	medicine
anxieties	fears
anxiety	fear
appellants	names
appellant	name
aphasics	not able to talk or understand wordss
aphasic	not able to talk or understand words
applicants	your names
applicant	your name
applied	use
apply	use
applying	use
apply	use
applied	use
apply	use
appreciated	thanked
appreciate	thank
appreciating	thanking
appreciate	thank
appreciated	thanked
appreciate	thank
appropriated	took
appropriate	take
appropriating	taking
appropriate	take
appropriated	taken
appropriate	take
approximated	about
approximate	about
approximating	about
approximate	about
approximated	about
approximate	about
aptitudes	abilities
aptitude	ability
aqueous	watery
arguably	maybe
arrhythmias	irregular heartbeats
arrhythmia	irregular heartbeat
arthralgias	pains
arthralgia	pain
arthritis	pains in joints; disease of the joints that causes swelling
arthritis	pain in joints; disease of the joints that causes swelling
ascertained	find
ascertain	find
ascertaining	find
ascertain	find
ascertained	find
ascertain	find
asphyxiated	choked
asphyxiate	choke
asphyxiating	choking
asphyxiate	choke
asphyxiated	choked
asphyxiate	choke
aspirations	chokes
aspiration	choke
assessed	reviewed
assess	review
assessing	reviewing
assess	review
assessed	reviewed
assess	review
assists	helps
assisted	helped
assist	help
assisting	helping
assist	help
assisted	helped
assist	help
associations	groups
association	group
asthmas	diseases
asthma	disease
asymptomatic infection	when you’re sick
asymptomatic	someone who is sick but does not feel or look sick
at the presented timed	now
at the present time	now
at the presenting timing	now
at the present time	now
at the presented timed	now
at the present time	now
ataxic	not able to coordinate movement
atheroscleroses	hardenings of the arteries
atherosclerosis	hardening of the arteries
attacks	violent starts
attacked	violent started
attack	violent start
attacking	violent starting
attack	violent start
attacked	violent started
attack	violent start
attempts	tries
attempted	tried
attempt	try
attempting	trying
attempt	try
attempted	tried
attempt	try
attenuated vaccine	vaccine
attires	clothess
attired	clothes
attire	clothes
attiring	clothes
attire	clothes
attired	clothes
attire	clothes
authentic	original
authorities	trusted sources
authority	trusted source
authorized	allowed
authorize	allow
authorizing	allowing
authorize	allow
authorized	allowed
authorize	allow
autisms	brain disorders
autism	brain disorder
autoimmune diseases	disease that makes your body attack themselves
autoimmune disease	disease that makes your body attack itself
autoimmunities	body fighting themselves
autoimmunity	body fighting itself
autonomous	free
avails	helps
availed	helped
avail	help
availing	helping
avail	help
availed	helped
avail	help
available	on hand
avian flu	bird flu
avoided	did not
avoid	do not
avoiding	doing not
avoid	do not
avoided	done not
avoid	do not
axillas	armpits
axilla	armpit
bacterias	germs
bacteria	germ
became more familiar	learnt more about...
become more familiar	learn more about...
becoming more familiar	learning more about...
become more familiar	learn more about...
become more familiar	learnt more about...
become more familiar	learn more about...
benign	harmless
bereavements	griefs after death
bereavement	grief after death
beverages	drinks
beverage	drink
biannual	twice a year
biennials	lasting two yearss
biennial	lasting two years
bilateral	with both sides considered
biological agents	diseases
biological agent	disease
biofilms (plaque)	sticky film with germs on teeth
biopsies	take tissue (usually for testing)s
biopsy	take tissue (usually for testing)
bioterrorisms	spreading virus or disease to cause fear or hurts
bioterrorism	spreading virus or disease to cause fear or hurt
biotas	plants and animalss
biota	plants and animals
BMI	body mass index
bona fide	real
boned density tested	boned strength tested
bone density test	bone strength test
boning density testing	boning strength testing
bone density test	bone strength test
boned density tested	boned strength tested
bone density test	bone strength test
bone marrows	area (or the space) inside your bones where blood cells are mades
boned marrow	area (or the space) inside your bones where blooded cells are made
bone marrow	area (or the space) inside your bones where blood cells are made
boning marrow	area (or the space) inside your bones where blooding cells are made
bone marrow	area (or the space) inside your bones where blood cells are made
boned marrow	area (or the space) inside your bones where blooded cells are made
bone marrow	area (or the space) inside your bones where blood cells are made
booster shots	shots you get months or years after your vaccine shots
booster shot	shot you get months or years after your vaccine shot
brachial neuritis	swelling of the nerves in your arms
bradycardias	slow heartbeats
bradycardia	slow heartbeat
breakthrough infection	getting a disease even though you’ve been protected against it
breastfeeding	nursing/feeding a baby with milk from the breast
breech births	baby born feet or rear-end firsts
breech birthed	babied born feet or rear-end first
breech birth	baby born feet or rear-end first
breech birthing	babying born feet or rear-end first
breech birth	baby born feet or rear-end first
breech birthed	babied born feet or rear-end first
breech birth	baby born feet or rear-end first
bronchial tubes	the tubes letting air in and out of the lungs
bronchodilators	medicines
bronchodilator	medicine
bruxisms	clinching and/or grinding teeths
bruxism	clinching and/or grinding teeth
buccal	side of mouth
bursitis	swollens
bursitis	swollen
by means of	by
by which timed	by then; when
by which time	by then; when
by which timing	by then; when
by which time	by then; when
by which timed	by then; when
by which time	by then; when
calculuss	hard crusty deposit on teeths
calculus	hard crusty deposit on teeth
capacities	sizes
capacity	size
carcinogens	cancer-causings
carcinogen	cancer-causing
carcinomata	cancer starting in the skin or organ linings
carcinoma	cancer starting in the skin or organ lining
cardiologists	heart doctors
cardiologist	heart doctor
cardiologies	medical department that treats heart problemss
cardiology	medical department that treats heart problems
cardiovascular	having to do with the heart and blood vessels
caries (dental)	cavities
carriers	someone who is sicks and can get other people sicks; animal that is sicks and can make other animals sicks
carrier	someone who is sick and can get other people sick; animal that is sick and can make other animals sick
cartilages	the smooth covering on the end of boness
cartilage	the smooth covering on the end of bones
cased fatality ratio	how many peopled died from a disease
case fatality ratio	how many people die from a disease
casing fatality ratio	how many peopling dying from a disease
case fatality ratio	how many people die from a disease
cased fatality ratio	how many peopled died from a disease
case fatality ratio	how many people die from a disease
CAT scanned (CT scan)	tested that shows inside bodied parts
CAT scan (CT scan)	test that shows inside body parts
CAT scanning (CT scan)	testing that shows inside bodying parts
CAT scan (CT scan)	test that shows inside body parts
CAT scanned (CT scan)	tested that shows inside bodied parts
CAT scan (CT scan)	test that shows inside body parts
cataracts	a clouding of the eye that makes it hard for people to see
catheters	tubes
catheter	tube
catastrophes	disasters
catastrophe	disaster
causal association	causes
cauterized	burnt the skinned
cauterize	burn the skin
cauterizing	burning the skinning
cauterize	burn the skin
cauterized	burnt the skinned
cauterize	burn the skin
ceases	ends
ceased	ended
cease	end
ceasing	ending
cease	end
ceased	ended
cease	end
censures	blames
censured	blamed
censure	blame
censuring	blaming
censure	blame
censured	blamed
censure	blame
Centers for Disease Control and Prevention	CDC
central nervous systems	brain and spinal cords
central nervous system	brain and spinal cord
cerebral hemorrhages	strokes
cerebral hemorrhaged	stroked
cerebral hemorrhage	stroke
cerebral hemorrhaging	stroking
cerebral hemorrhage	stroke
cerebral hemorrhaged	stroked
cerebral hemorrhage	stroke
cerebrovascular disease	stroke
cerumens	earwaxes
cerumen	earwax
cervixes	lower part of the wombs
cervix	lower part of the womb
Cesarean delivery	C-section
cessations	stoppings
cessation	stopping
characteristics	marks
characteristic	mark
characterized	told about
characterize	tell about
characterizing	telling about
characterize	tell about
characterized	told about
characterize	tell about
chemotherapies	cancer drugs
chemotherapy	cancer drug
chronic	constant
chronic disease	long-lasting disease
chronic health conditioned	constant health problem
chronic health condition	constant health problem
chronic health conditioning	constant health problem
chronic health condition	constant health problem
chronic health conditioned	constant health problem
chronic health condition	constant health problem
chronic obstructive pulmonary diseases	lung diseases
chronic obstructive pulmonary disease	lung disease
circulations	blood flows
circulation	blood flow
circumstances	events
circumstance	event
clades	groups of animals that can all get the same disease
clade	group of animals that can all get the same disease
clavicles	collar bones
clavicle	collar bone
cleft lip and/or palate	harelip
clients	you
client	you
clinical	work
clinical	medical
clinical trials	clinical research studies
clinical trial	clinical research study
clinically ill	sick
closed proximity	neared
close proximity	near
closing proximity	nearing
close proximity	near
closed proximity	neared
close proximity	near
coagulated	clotted
coagulate	clot
coagulating	clotting
coagulate	clot
coagulated	clotted
coagulate	clot
coerced	forced
coerce	force
coercing	forcing
coerce	force
coerced	forced
coerce	force
cognizant	aware
colics	stomach pains
colic	stomach pain
collaborated	worked together
collaborate	work together
collaborating	working together
collaborate	work together
collaborated	worked together
collaborate	work together
colonoscopies	check your colons
colonoscopy	check your colon
cancers	s
cancer	
comatose	in a coma
combinations	mixes
combination	mix
combination vaccine	a vaccine that helps stop more than one type of disease
commenced	started
commence	start
commencing	starting
commence	start
commenced	started
commence	start
communicable	catching
communicated	told
communicate	tell
communicating	telling
communicate	tell
communicated	told
communicate	tell
community immunity	group protection from a disease
comparable	like
compensated	made upped
compensate	make up
compensating	making upping
compensate	make up
compensated	made upped
compensate	make up
competent	skillful
completed	finished
complete	finish
completing	finishing
complete	finish
completed	finished
complete	finish
completions	ends
completion	end
complimentary	free
complied	did
comply	do
complying	doing
comply	do
complied	done
comply	do
components	parts
component	part
composite or composite filling	tooth-colored filling
comprehensives	completes
comprehensive	complete
compresses	squeezes
compressed	squeezed
compress	squeeze
compressing	squeezing
compress	squeeze
compressed	squeezed
compress	squeeze
comprised	were made upped of
comprise	be made up of
comprising	being made upping of
comprise	be made up of
comprised	been made upped of
comprise	be made up of
compromised	weakened
compulsions	wants
compulsion	want
conceived	imagined
conceive	imagine
conceiving	imagining
conceive	imagine
conceived	imagined
conceive	imagine
concentrations	strengths
concentration	strength
concerning	about
concluded	ended
conclude	end
concluding	ending
conclude	end
concluded	ended
conclude	end
conclusive	definite
concurred	agreed
concur	agree
concurring	agreeing
concur	agree
concurred	agreed
concur	agree
conditions	a medical problems
conditioned	a medical problem
condition	a medical problem
conditioning	a medical problem
condition	a medical problem
conditioned	a medical problem
condition	a medical problem
conditionings	physical trainings
conditioning	physical training
conducts	does
conducted	did
conduct	do
conducting	doing
conduct	do
conducted	done
conduct	do
congenital	born with
conjugated vaccine	a specific typed of vaccine
conjugate vaccine	a specific type of vaccine
conjugating vaccine	a specific typing of vaccine
conjugate vaccine	a specific type of vaccine
conjugated vaccine	a specific typed of vaccine
conjugate vaccine	a specific type of vaccine
conjunctivitis	eye infections
conjunctivitis	eye infection
conscientious	careful
consequently	so
consistent	stays the same
conspicuous	plain to see
constituted	made of
constitute	made of
constituting	made of
constitute	made of
constituted	made of
constitute	made of
constructs	makes
constructed	made
construct	make
constructing	making
construct	make
constructed	made
construct	make
consulted	talked with
consult	talk with
consulting	talking with
consult	talk with
consulted	talked with
consult	talk with
consumed	ate
consume	eat
consuming	eating
consume	eat
consumed	eaten
consume	eat
contacts	talks to
contacted	talked to
contact	talk to
contacting	talking to
contact	talk to
contacted	talked to
contact	talk to
contagious diseases	illness that spreads to otherss
contagious disease	illness that spreads to others
could made other peopled 	
can make other people sick	
 making other peopling 	
can make other people sick	
 made other peopled 	
can make other people sick	
contagious	catching
contained	had
contain	have
containing	having
contain	have
contained	had
contain	have
contaminants	pollutants
contaminant	pollutant
contaminated	spoilt
contaminate	spoil
contaminating	spoiling
contaminate	spoil
contaminated	spoilt
contaminate	spoil
contemplated	thought about
contemplate	think about
contemplating	thinking about
contemplate	think about
contemplated	thought about
contemplate	think about
continued to	kept on
continue to	keep on
continuing to	keeping on
continue to	keep on
continued to	kept on
continue to	keep on
contraceptives	birth controls
contraceptive	birth control
contracts	arranges
contracted	arranged
contract	arrange
contracting	arranging
contract	arrange
contracted	arranged
contract	arrange
contraindications	dangerouss to give
contraindication	dangerous to give
opposites	s
opposite	
contributed	helped
contribute	help
contributing	helping
contribute	help
contributed	helped
contribute	help
controls	manages
controlled	managed
control	manage
controlling	managing
control	manage
controlled	managed
control	manage
contusions	bruises
contusion	bruise
convenient	easy to use
convulsions	seizures
convulsion	seizure
co-operate	help
COPD	Chronic Obstructive Pulmonary Disease
coronary heart disease	heart disease
coronary thromboses	heart attacks
coronary thrombosis	heart attack
corresponded	agreed with
correspond	agree with
corresponding	agreeing with
correspond	agree with
corresponded	agreed with
correspond	agree with
corroborated	confirmed
corroborate	confirm
corroborating	confirming
corroborate	confirm
corroborated	confirmed
corroborate	confirm
corticosteroids	asthma drug
cot deaths	SIDSs
cot death	SIDS
coughed etiquette	how to coughed or sneezed
cough etiquette	how to cough or sneeze
coughing etiquette	how to coughing or sneezing
cough etiquette	how to cough or sneeze
coughed etiquette	how to coughed or sneezed
cough etiquette	how to cough or sneeze
countermeasures	drugs to help fight sickness; flu shots; vaccines
crib deaths	SIDSs
cribbed death	SIDS
crib death	SIDS
cribbing death	SIDS
crib death	SIDS
cribbed death	SIDS
crib death	SIDS
criteria	signs
criterion	sign
Crohn’s Disease	digestion disease
crossbite	upper teeth are biting inside the lower teeth
crowned (gold, porcelain or stainless steel)	capped that covers tooth (stainless steeled most often used on "baby teeth")
crown (gold, porcelain or stainless steel)	cap that covers tooth (stainless steel most often used on "baby teeth")
crowning (gold, porcelain or stainless steel)	capping that covers tooth (stainless steeling most often used on "baby teeth")
crown (gold, porcelain or stainless steel)	cap that covers tooth (stainless steel most often used on "baby teeth")
crowned (gold, porcelain or stainless steel)	capped that covers tooth (stainless steeled most often used on "baby teeth")
crown (gold, porcelain or stainless steel)	cap that covers tooth (stainless steel most often used on "baby teeth")
cures	heals
cured	healed
cure	heal
curing	healing
cure	heal
cured	healed
cure	heal
currently	now
cushingoid	signs of high doses of medicine
cutaneous	skin related
cysts	puss under your skin
cyst	pus under your skin
cystitis	bladder infections
cystitis	bladder infection
danders	flakess of skin
dander	flakes of skin
deceaseds	deads
deceased	dead
deciduous teeth	baby teeth
deciduous tooth	baby tooth
decomposed	decayed
decompose	decay
decomposing	decaying
decompose	decay
decomposed	decayed
decompose	decay
decontaminated	cleaned
decontaminate	clean
decontaminating	cleaning
decontaminate	clean
decontaminated	cleaned
decontaminate	clean
decreases	take lesses
decreased	took less
decrease	take less
decreasing	taking less
decrease	take less
decreased	taken less
decrease	take less
deficiencies	lacks
deficiency	lack
deficient	lacking
deformities	a change from the normal shapes
deformity	a change from the normal shape
degenerative	weaken
dehydrated	needed watered
dehydrate	need water
dehydrating	needing watering
dehydrate	need water
dehydrated	needed watered
dehydrate	need water
deltoids	arm muscles
deltoid	arm muscle
dementias	memory loss that gets worse over times
dementia	memory loss that gets worse over time
demonstrated	proved
demonstrate	prove
demonstrating	proving
demonstrate	prove
demonstrated	proven
demonstrate	prove
demyelinating disordered	nerved disease
demyelinating disorder	nerve disease
demyelinating disordering	nerving disease
demyelinating disorder	nerve disease
demyelinating disordered	nerved disease
demyelinating disorder	nerve disease
dental cariess	cavitiess
dental caries	cavities
dental implants	fake tooth drilled into jaw bones
dental implanted	faked tooth drilled into jawed boned
dental implant	fake tooth drilled into jaw bone
dental implanting	faking tooth drilled into jawing boning
dental implant	fake tooth drilled into jaw bone
dental implanted	faked tooth drilled into jawed boned
dental implant	fake tooth drilled into jaw bone
dental sealant (pit and fissured sealant)	thinned layered of plastic painted onto teeth to prevented decayed
dental sealant (pit and fissure sealant)	thin layer of plastic painted onto teeth to prevent decay
dental sealant (pit and fissuring sealant)	thinning layering of plastic painted onto teeth to preventing decaying
dental sealant (pit and fissure sealant)	thin layer of plastic painted onto teeth to prevent decay
dental sealant (pit and fissured sealant)	thinned layered of plastic painted onto teeth to prevented decayed
dental sealant (pit and fissure sealant)	thin layer of plastic painted onto teeth to prevent decay
dentins	main bone-like part of a teeth
dentin	main bone-like part of a tooth
deoxygenated	no oxygen
depleted	emptied
deplete	empty
depleting	emptying
deplete	empty
depleted	emptied
deplete	empty
dermal	related to the skin
dermatologists	skin doctors
dermatologist	skin doctor
dermatologies	skin doctor’s offices
dermatology	skin doctor’s office
designated	called
designate	call
designating	calling
designate	call
designated	called
designate	call
detected	find
detect	find
detecting	find
detect	find
detected	find
detect	find
deteriorated	get worse
deteriorate	get worse
deteriorating	get worse
deteriorate	get worse
deteriorated	get worse
deteriorate	get worse
determined	figured outed
determine	figure out
determining	figuring outing
determine	figure out
determined	figured outed
determine	figure out
detrimental	bad
developed	created
develop	create
developing	creating
develop	create
developed	created
develop	create
developmental disability	physical or mental disability
deviates	strays
deviated	strayed
deviate	stray
deviating	straying
deviate	stray
deviated	strayed
deviate	stray
diabetes	diabetes
diabetes	diabetes
diabetics	people with diabetes
diabetic	person with diabetes
diagnosed	tested
diagnose	test
diagnosing	testing
diagnose	test
diagnosed	tested
diagnose	test
diagnoses	findings out the cause of an illness
diagnosis	finding out the cause of an illness
diarrhea diseases	diarrhea
difficulties	problems
dilated	became wider
dilate	become wider
dilating	becoming wider
dilate	become wider
dilated	become wider
dilate	become wider
dilators	something used to make something become largers
dilator	something used to make something become larger
diluted	weakened
dilute	weaken
diluting	weakening
dilute	weaken
diluted	weakened
dilute	weaken
dimensions	sizes
dimensioned	sized
dimension	size
dimensioning	sizing
dimension	size
dimensioned	sized
dimension	size
diminished	made smaller
diminish	make smaller
diminishing	making smaller
diminish	make smaller
diminished	made smaller
diminish	make smaller
diminutives	smalls
diminutive	small
diplopias	double visions
diplopia	double vision
directed to	told
discharges	going homes
discharged	going homed
discharge	going home
discharging	going homing
discharge	going home
discharged	going homed
discharge	going home
disclosed	showed
disclose	show
disclosing	showing
disclose	show
disclosed	shown
disclose	show
discoid	shaped like a disk
discolorations	changes in color
discoloration	change in color
discontinued	stopped
discontinue	stop
discontinuing	stopping
discontinue	stop
discontinued	stopped
discontinue	stop
discussed	talked about
discuss	talk about
discussing	talking about
discuss	talk about
discussed	talked about
discuss	talk about
diseases	illnesses
disease	illness
disguises	hides
disguised	hid
disguise	hide
disguising	hiding
disguise	hide
disguised	hidden
disguise	hide
disorders	conditions
disordered	conditioned
disorder	condition
disordering	conditioning
disorder	condition
disordered	conditioned
disorder	condition
displays	shows
displayed	showed
display	show
displaying	showing
display	show
displayed	shown
display	show
dissemination (disseminate)	spread
distal	back of
distinguished	told apart
distinguish	tell apart
distinguishing	telling apart
distinguish	tell apart
distinguished	told apart
distinguish	tell apart
distributed	handed outed
distribute	hand out
distributing	handing outing
distribute	hand out
distributed	handed outed
distribute	hand out
DNA	genes
domiciles	homes
domiciled	homed
domicile	home
domiciling	homing
domicile	home
domiciled	homed
domicile	home
donated	to gave
donate	to give
donating	to giving
donate	to give
donated	to given
donate	to give
donations	gifts
donation	gift
don't were alarmed	don't worried
don't be alarmed	don't worry
don't being alarmed	don't worrying
don't be alarmed	don't worry
don't been alarmed	don't worried
don't be alarmed	don't worry
doses	amounts of medicine
dosed	amounted of medicine
dose	amount of medicine
dosing	amounting of medicine
dose	amount of medicine
dosed	amounted of medicine
dose	amount of medicine
drowsy	sleepy
due to the fact that...	because
dusts	fines
dusted	fined
dust	fine
dusting	fining
dust	fine
dusted	fined
dust	fine
dwellings	homes
dwelling	home
dysarthrias	slurred speeches
dysarthria	slurred speech
dyspepsias	indigestions
dyspepsia	indigestion
dysphagias	swallowing disorders
dysphagia	swallowing disorder
early childhood caries (ECC)	baby bottle tooth decay
economical	cheap
edemata	swellings
edema	swelling
edentulous	no teeth
effects	results
effected	resulted
effect	result
effecting	resulting
effect	result
effected	resulted
effect	result
effective	works well
efficacy rated	how welled something works
efficacy rate	how well something works
efficacy rating	how welling something works
efficacy rate	how well something works
efficacy rated	how welled something works
efficacy rate	how well something works
EHR (Electronic Health Record)	synonymous with EMR (Electronic Medical Record) which is a digitally formatted medical record
EKG	heart test
electrocardiogram (EKG or ECG)	heart test
electrolytes	blood salts
elevated	raised
elevate	raise
elevating	raising
elevate	raise
elevated	raised
elevate	raise
eliminated	stopped
eliminate	stop
eliminating	stopping
eliminate	stop
eliminated	stopped
eliminate	stop
emaciated	very thin
embolisms	blood clots
embolism	blood clot
embryos	unborn baby (up to 12 weeks)s
embryo	unborn baby (up to 12 weeks)
emergencies	emergencies
emergency	emergency
emphasized	stressed
emphasize	stress
emphasizing	stressing
emphasize	stress
emphasized	stressed
emphasize	stress
emphysemas	a lung diseases
emphysema	a lung disease
EMR (Electronic Medical Record)	chart
enamels	hard covering on outside of teeth
enamelled	hard covering on outside of tooth
enamel	hard covering on outside of tooth
enamelling	hard covering on outside of tooth
enamel	hard covering on outside of tooth
enamelled	hard covering on outside of tooth
enamel	hard covering on outside of tooth
encephalitis	swollen brains
encephalitis	swollen brain
encephalopathies	brain dysfunctions
encephalopathy	brain dysfunction
encouraged	urged
encourage	urge
encouraging	urging
encourage	urge
encouraged	urged
encourage	urge
endeavors	tries
endeavor	tried
endeavor	try
endeavor	trying
endeavor	try
endeavor	tried
endeavor	try
endocrines	hormone systems
endocrine	hormone system
endodontic	treatment of root canal for diseased nerve in tooth
enhanced	added to
enhance	add to
enhancing	adding to
enhance	add to
enhanced	added to
enhance	add to
environments	all the things around you in your daily lives
environment	all the things around you in your daily life
environmental controlled	removing harmful things from your homed and work; doing something to improved the spaced you lived in and the aired you breathed
environmental control	removing harmful things from your home and work; doing something to improve the space you live in and the air you breathe
environmental controlling	removing harmful things from your homing and work; doing something to improving the spacing you living in and the airing you breathing
environmental control	removing harmful things from your home and work; doing something to improve the space you live in and the air you breathe
environmental controlled	removing harmful things from your homed and work; doing something to improved the spaced you lived in and the aired you breathed
environmental control	removing harmful things from your home and work; doing something to improve the space you live in and the air you breathe
epidemics	disease that most people gets
epidemic	disease that most people get
epidemiologies	disease studies
epidemiology	disease study
epidermis	skins
epidermis	skin
episodes	events
episode	event
epizootic	widespread disease in animals
equilibriums	balances
equilibrium	balance
equivalent of	equal to
erosions	small pits
erythematosus	red rash on the face
escalated	worsened
escalate	worsen
escalating	worsening
escalate	worsen
escalated	worsened
escalate	worsen
ESR	a blood test
estrogens	female hormones
estrogen	female hormone
etiologies	the cause ofs
etiology	the cause of
evident	plain to see
exacerbated	worsened
exacerbate	worsen
exacerbating	worsening
exacerbate	worsen
exacerbated	worsened
exacerbate	worsen
excess rated	how many peopled became seriously  during a pandemic
excess rate	how many people become seriously sick during a pandemic
excess rating	how many peopling becoming seriously  during a pandemic
excess rate	how many people become seriously sick during a pandemic
excess rated	how many peopled become seriously  during a pandemic
excess rate	how many people become seriously sick during a pandemic
excessive	too much
excises	cuts out
excised	cut outed
excise	cut out
excising	cutting outing
excise	cut out
excised	cut outed
excise	cut out
exerted	worked hard
exert	work hard
exerting	working hard
exert	work hard
exerted	worked hard
exert	work hard
exertions	efforts
exertion	effort
exhaled	breathed outed
exhale	breathe out
exhaling	breathing outing
exhale	breathe out
exhaled	breathed outed
exhale	breathe out
exhibits	shows
exhibited	showed
exhibit	show
exhibiting	showing
exhibit	show
exhibited	shown
exhibit	show
expectorated	spit
expectorate	spit
expectorating	spitting
expectorate	spit
expectorated	spit
expectorate	spit
experiences	feels
experienced	felt
experience	feel
experiencing	feeling
experience	feel
experienced	felt
experience	feel
expertises	knowledge
expertise	knowledge
exposures	arounds
exposure	around
expressive language	speaking
extended	made longer
extend	make longer
extending	making longer
extend	make longer
extended	made longer
extend	make longer
extremely	very
facilitated	made easier
facilitate	make easier
facilitating	making easier
facilitate	make easier
facilitated	made easier
facilitate	make easier
factors	causes
factored	caused
factor	cause
factoring	causing
