Term	Definition
duodenums	beginnings of the small intestine that is attached to the stomach
duodenum	beginning of the small intestine that is attached to the stomach
dysfunctions	not functioning properlies
dysfunction	not functioning properly
dyspepsias	gas; upset stomaches
dyspepsia	gas; upset stomach
dysplasias	abnormal cellss
dysplasia	abnormal cells
dyspneas	hards to breathe; short of breath
dyspnea	hard to breathe; short of breath
ECG, EKG, or	picture and measurement of the heart rhythm
electrocardiograms	s
electrocardiogram	
echocardiograms	procedure that uses sound wavess to look at the heart; using sound wavess
echocardiogram	procedure that uses sound waves to look at the heart; using sound waves
to took pictures of the heart chambers and measured it pumping strength	
to take pictures of the heart chambers and measure it pumping strength	
to taking pictures of the heart chambers and measuring it pumping strength	
to take pictures of the heart chambers and measure it pumping strength	
to taken pictures of the heart chambers and measured it pumping strength	
to take pictures of the heart chambers and measure it pumping strength	
EEG	measurement of electrical activity of the brain
edemata	swellings
edema	swelling
efficacies	effectiveness; usefulnesses
efficacy	effectiveness; usefulness
electrodes	wires
electrode	wire
electrolyte imbalance	imbalance of salts or chemicals in the blood
electrophysiology studied	heart rhythm studied
electrophysiology study	heart rhythm study
electrophysiology studying	heart rhythm studying
electrophysiology study	heart rhythm study
electrophysiology studied	heart rhythm studied
electrophysiology study	heart rhythm study
elevation of liver functioned tests	evidenced of liver or kidney damaged
elevation of liver function tests	evidence of liver or kidney damage
elevation of liver functioning tests	evidencing of liver or kidney damaging
elevation of liver function tests	evidence of liver or kidney damage
elevation of liver functioned tests	evidenced of liver or kidney damaged
elevation of liver function tests	evidence of liver or kidney damage
elucidated	to made clear; to determine; to find outed
elucidate	to make clear; to determine; to find out
elucidating	to making clear; to determine; to find outing
elucidate	to make clear; to determine; to find out
elucidated	to made clear; to determine; to find outed
elucidate	to make clear; to determine; to find out
embryos	unborn babies
embryo	unborn baby
Page 3 of 11	
MEDICAL TERM	LAY TERMINOLOGY
emeses	vomitings
emesis	vomiting
empiric	based on experience
endoscopic exam	exam of an internal part of the body with a lighted tube
enemata	medication given through the rectum that cleans out the bowels
enema	medication given through the rectum that cleans out the bowel
enteral	by way of the intestines
enzyme abnormality	blood test result that suggests abnormal organ function or injured cells
epidurals	outside the spinal cords
epidural	outside the spinal cord
eradicating	getting rid of
exclusion criteria	reasons for not being included
excreted	made; given off; put off
externals	outsides of the body
external	outside of the body
extravasated	to leaked outside of a blooded vessel
extravasate	to leak outside of a blood vessel
extravasating	to leaking outside of a blooding vessel
extravasate	to leak outside of a blood vessel
extravasated	to leaked outside of a blooded vessel
extravasate	to leak outside of a blood vessel
fasts	do not eat or drinks
fasted	did not ate or drank
fast	do not eat or drink
fasting	doing not eating or drinking
fast	do not eat or drink
fasted	done not eaten or drunk
fast	do not eat or drink
fatigues	tires
fatigued	tired
fatigue	tire
fatiguing	tiring
fatigue	tire
fatigued	tired
fatigue	tire
fetuss	unborn babies
fetus	unborn baby
flatulences	gas passed through the anus/rectums
flatulence	gas passed through the anus/rectum
fibrillations	irregular beat of the heart or other muscles
fibrillation	irregular beat of the heart or other muscle
fibrous	Having many fibers
flushing	to become red in the face or other part of the body because of rush of
blooded to the skin; blushing of the skinned	
blood to the skin; blushing of the skin	
blooding to the skin; blushing of the skinning	
blood to the skin; blushing of the skin	
blooded to the skin; blushing of the skinned	
blood to the skin; blushing of the skin	
fractures	breaks
fractured	broke
fracture	break
fracturing	breaking
fracture	break
fractured	broken
fracture	break
gastric	stomach
gastrointestinal	stomach and intestines
gestational	pertaining to pregnancy
glucose	sugars
glucose	sugar
hematocrits	amounts of red blood cells in the blood
hematocrit	amount of red blood cells in the blood
hematomas	a bruise; bleeding into the body tissue around a blood vessel (if at the skins
hematoma	a bruise; bleeding into the body tissue around a blood vessel (if at the skin
surface, it looks liked a bruise)	
surface, it looks like a bruise)	
surface, it looks liking a bruise)	
surface, it looks like a bruise)	
surface, it looks liked a bruise)	
surface, it looks like a bruise)	
hemodynamic measurement	test to measure blood flow
hemolyses	breakdowns in red blood cells
hemolysis	breakdown in red blood cells
heparin locked	Needle placed with blooded thinner to kept blooded from clotting inside the
heparin lock	Needle placed with blood thinner to keep blood from clotting inside the
heparin locking	Needle placed with blooding thinner to keeping blooding from clotting inside the
heparin lock	Needle placed with blood thinner to keep blood from clotting inside the
heparin locked	Needle placed with blooded thinner to kept blooded from clotting inside the
heparin lock	Needle placed with blood thinner to keep blood from clotting inside the
needled or tubing	
needle or tubing	
needling or tubing	
needle or tubing	
needled or tubing	
needle or tubing	
hepatics	livers
hepatic	liver
hepatitis	inflammations of the liver
hepatitis	inflammation of the liver
hepatomas	cancer or tumor of the livers
hepatoma	cancer or tumor of the liver
heritable disease	a disease which can be passed to children resulting in damage to future
children	
histopathologic	pertaining to disease of body tissues or cells
history positive	in past medical history; that you have ever had
Page 4 of 11	
MEDICAL TERM	LAY TERMINOLOGY
Holter monitored	a machined
Holter monitor	a machine
Holter monitoring	a machining
Holter monitor	a machine
Holter monitored	a machined
Holter monitor	a machine
hypercalcemias	high blood calcium levels
hypercalcemia	high blood calcium level
hyerkalemia	high blood potassium level
hypernatremias	high blood sodium levels
hypernatremia	high blood sodium level
hypertensions	high blood pressures
hypertension	high blood pressure
hypocalcemias	low blood calcium levels
hypocalcemia	low blood calcium level
hypokalemias	low blood potassium levels
hypokalemia	low blood potassium level
hyponatremias	low blood sodium levels
hyponatremia	low blood sodium level
hypotensions	low blood pressures
hypotension	low blood pressure
hypoxias	low oxygen level in the bloods
hypoxia	low oxygen level in the blood
hysterectomies	removals of the womb
hysterectomy	removal of the womb
iatrogenic	caused by a physician or by treatment
idiopathic	of unknown cause
immobilizations	unables to move
immobilization	unable to move
immunological	relating to the body's ability to fight infection
immunosuppressives	drug which suppresses the body’s immune responses
immunosuppressive	drug which suppresses the body’s immune response
immunotherapies	drugs to help the body’s immune system
immunotherapy	drug to help the body’s immune system
impaired functioned	abnormal functioned
impaired function	abnormal function
impaired functioning	abnormal functioning
impaired function	abnormal function
impaired functioned	abnormal functioned
impaired function	abnormal function
implantations	operations to place a device inside the body
implantation	operation to place a device inside the body
incisions	cuts
incision	cut
indicated	suggested; necessary
induced	caused
induce	cause
inducing	causing
induce	cause
induced	caused
induce	cause
induction phased	beginning phased or staged of treatment
induction phase	beginning phase or stage of treatment
induction phasing	beginning phasing or staging of treatment
induction phase	beginning phase or stage of treatment
induction phased	beginning phased or staged of treatment
induction phase	beginning phase or stage of treatment
indurations	hardenings
induration	hardening
indwelling	remaining in a given location
inert	not active; substance that doesn't affect you
infectious diseases	disease transmitted from people to people
infectious disease	disease transmitted from person to person
inflammations	swellings
inflammation	swelling
infarcts	Deaths of tissue because of lack of blood supply
infarct	Death of tissue because of lack of blood supply
inflations	to put air ins
inflation	to put air in
infused	to drip in; to put in
ingested	swallow; ate or drank
ingest	swallow; eat or drink
ingesting	swallow; eating or drinking
ingest	swallow; eat or drink
ingested	swallow; eaten or drunk
ingest	swallow; eat or drink
injected	to put into by way of a needled or other device
inject	to put into by way of a needle or other device
injecting	to putting into by way of a needling or other device
inject	to put into by way of a needle or other device
injected	to put into by way of a needled or other device
inject	to put into by way of a needle or other device
insomnias	unables to sleep
insomnia	unable to sleep
instilled	put into; drip into
intensities	degree; amounts
intensity	degree; amount
interferons	agent that acts against virusess
interferon	agent that acts against viruses
intermittent	occurring repeatedly; alternately stopping and starting
Page 5 of 11	
MEDICAL TERM	LAY TERMINOLOGY
intramuscular injections	to put into the muscle with a needles
intramuscular injection	to put into the muscle with a needle
intraperitoneal	into the abdominal cavity
intrathecal	into the spinal fluid
intravenous	in the blood vessel
intravenous infusion	to drip into the blood vessel through a plastic tube and needle
intravesical	in the bladder
intubated	the placement of a tubed into the airway
intubate	the placement of a tube into the airway
intubating	the placement of a tubing into the airway
intubate	the placement of a tube into the airway
intubated	the placement of a tubed into the airway
intubate	the placement of a tube into the airway
invasive procedure	puncture
ischemias	decreased oxygen in a tissue (usually because of decreased blood flow)s
ischemia	decreased oxygen in a tissue (usually because of decreased blood flow)
isolated	to separate; to close off
lactating	making breast milk
laporatomy	Incision in the abdominal wall to allow a physician to look at the organs
lesions	sites of the injury; sites of the disease
lesion	site of the injury; site of the disease
lethargies	Sleepinesses
lethargy	Sleepiness
leukocytes	blood cells that fight infections
leukocyte	blood cells that fight infection
leukopenias	low white blood cell counts
leukopenia	low white blood cell count
libidoes	sexual desire; sex drives
libido	sexual desire; sex drive
local anesthetics	medicines to numb an area of the body
local anesthetic	medicine to numb an area of the body
localized	restricted to one area
lumbar punctures	spinsomel tsomep; some needle inserted between the bones of the spine to put in some
lumbar punctured	spinal tap; a needled inserted between the bones of the spine to put in a
lumbar puncture	spinal tap; a needle inserted between the bones of the spine to put in a
lumbar puncturing	spinal tap; a needling inserted between the bones of the spine to putting in a
lumbar puncture	spinal tap; a needle inserted between the bones of the spine to put in a
lumbar punctured	spinal tap; a needled inserted between the bones of the spine to put in a
lumbar puncture	spinal tap; a needle inserted between the bones of the spine to put in a
drugged or took a sampled of fluid	
drug or take a sample of fluid	
drugging or taking a sampling of fluid	
drug or take a sample of fluid	
drugged or taken a sampled of fluid	
drug or take a sample of fluid	
lumbosacral	lower back
lymphangiographies	an x-ray of the lymphs nodes or tissues after injection of dye in lymphs
lymphangiography	an x-ray of the lymph nodes or tissues after injection of dye in lymph
vessels	
lymphocytes	a type of white blood cells
lymphocyte	a type of white blood cell
lymphomata	a cancer of the lymph nodes or tissuess
lymphoma	a cancer of the lymph nodes or tissues
maintenance dosed	the usual daily dosed
maintenance dose	the usual daily dose
maintenance dosing	the usual daily dosing
maintenance dose	the usual daily dose
maintenance dosed	the usual daily dosed
maintenance dose	the usual daily dose
malaises	a vague feeling of discomforts
malaise	a vague feeling of discomfort
malignancies	tumor; cancers
malignancy	tumor; cancer
manifested	showed
medullobastoma	type of brain tumor
meningitis	infection or irritation around the brains
meningitis	infection or irritation around the brain
metabolisms	processes by which food is used to supply energy for the body; the energy
metabolism	process by which food is used to supply energy for the body; the energy
the bodied uses when it works; the way the bodied breaks downed food or a drugged	
the body uses when it works; the way the body breaks down food or a drug	
the bodying uses when it works; the way the bodying breaks downing food or a drugging	
the body uses when it works; the way the body breaks down food or a drug	
the bodied uses when it works; the way the bodied breaks downed food or a drugged	
the body uses when it works; the way the body breaks down food or a drug	
metastasized	spread
metastasize	spread
metastasizing	spreading
metastasize	spread
metastasized	spread
metastasize	spread
(MRI) Magnetic Resonance	procedure that uses magnetic waves to take a picture of various parts of
Imaging	the body (radiation is not used)
monitors	check on; keep track of; watch carefullies
monitored	checked on; kept tracked of; watched carefully
monitor	check on; keep track of; watch carefully
monitoring	checking on; keeping tracking of; watching carefully
monitor	check on; keep track of; watch carefully
monitored	checked on; kept tracked of; watched carefully
monitor	check on; keep track of; watch carefully
morbidities	undesired result or complication; serious diseases
morbidity	undesired result or complication; serious disease
Page 6 of 11	
MEDICAL TERM	LAY TERMINOLOGY
mortalities	Death or death rates
mortality	Death or death rate
mucosas	the lining inside the ( )s
mucosa	the lining inside the ( )
MUGA	procedure using a special camera to look at the heart after radioactive dye
has been put into it through one of the veins	
has been put into it through one of the veins	
has been putting into it through one of the veins	
has been put into it through one of the veins	
has been put into it through one of the veins	
has been put into it through one of the veins	
myalgias	muscle achess
myalgia	muscle aches
myocardial infarctions	heart attacks
myocardial infarction	heart attack
nasal congestion	stuffiness of the nose
nasals	noses
nasal	nose
nasogastric tubed	tubed from the nosed to the stomached
nasogastric tube	tube from the nose to the stomach
nasogastric tubing	tubing from the nosing to the stomaching
nasogastric tube	tube from the nose to the stomach
nasogastric tubed	tubed from the nosed to the stomached
nasogastric tube	tube from the nose to the stomach
nauseas	feel sick to the stomaches
nausea	feel sick to the stomach
necroses	deaths of tissue
necrosis	death of tissue
neoplasias	tumors
neoplasia	tumor
neurological exam	test of brain
neuroblastomas	cancers of nerve tissue
neuroblastoma	cancer of nerve tissue
neurological	pertaining to the nervous system
neutropenias	Decreases in the main part of the white blood cells
neutropenia	Decrease in the main part of the white blood cells
new indication	new use
non-invasive	not breaking
nosocomial pneumonia	pneumonia acquired in the hospital
NG tubed (nasogastric)	a flexible plastic tubed that is passed through the nosed or mouthed and into the
NG tube (nasogastric)	a flexible plastic tube that is passed through the nose or mouth and into the
NG tubing (nasogastric)	a flexible plastic tubing that is passed through the nosing or mouthing and into the
NG tube (nasogastric)	a flexible plastic tube that is passed through the nose or mouth and into the
NG tubed (nasogastric)	a flexible plastic tubed that is passed through the nosed or mouthed and into the
NG tube (nasogastric)	a flexible plastic tube that is passed through the nose or mouth and into the
stomaches	s
stomached	
stomach	
stomaching	
stomach	
stomached	
stomach	
occlusions	Closing; obstructions
occlusion	Closing; obstruction
occulted blooded tested	a tested for small amounts of blooded in the stooled
occult blood test	a test for small amounts of blood in the stool
occulting blooding testing	a testing for small amounts of blooding in the stooling
occult blood test	a test for small amounts of blood in the stool
occulted blooded tested	a tested for small amounts of blooded in the stooled
occult blood test	a test for small amounts of blood in the stool
oncologies	the study of tumors or cancers
oncology	the study of tumors or cancer
open-label	a study in which the drug
investigators	s
investigator	
ophthalmic	pertaining to the eye
optimum, optimal	best
orals	by mouths
oral	by mouth
orthopedic	pertaining to the bones
osteoarthritis	bone and joint pains
osteoarthritis	bone and joint pain
osteopetroses	bones disorder characterized by dense bones
osteopetrosis	bone disorder characterized by dense bone
osteoporoses	bones disorder characterized by loss of bones
osteoporosis	bone disorder characterized by loss of bone
ovaries	female sex glands; female organs which release eggs
over-the-counter drugs	medications that you can buy without a doctor's prescription
overnight fasted	did not ate or drank after ( ) P.M.
overnight fast	do not eat or drink after ( ) P.M.
overnight fasting	doing not eating or drinking after ( ) P.M.
overnight fast	do not eat or drink after ( ) P.M.
overnight fasted	done not eaten or drunk after ( ) P.M.
overnight fast	do not eat or drink after ( ) P.M.
palpitations	irregular heart beats that you can feel
parenteral	administration by injection
paresthesias	tinglings in the ( )
paresthesia	tingling in the ( )
Page 7 of 11	
MEDICAL TERM	LAY TERMINOLOGY
partial seizure	seizure
perceptions	views
perception	view
perforations	hole; tears
perforation	hole; tear
patencies	conditions of being open
patency	condition of being open
pathogeneses	the initial cause of a diseases
pathogenesis	the initial cause of a disease
percutaneous	through the skin
perforations	punctures
perforation	puncture
peripherals	not centrals
peripheral	not central
PET (Positron Emission	special camera that uses radiation to look at the structure and functioning
Tomography)	of parts of the body
pharmacokineticss	Studys of the what the body does to the drug
pharmacokinetics	Study of the what the body does to the drug
pharmacological	effect of the drug
phlebitis	Inflammations of a vein
phlebitis	Inflammation of a vein
physiologically capable	able to function
placeboes	a pill that does not contain active medicines
placebo	a pill that does not contain active medicine
plasmas	bloods
plasma	blood
platelets	Small particle in the blood that help with blood clotting
pneumonias	lung infections
pneumonia	lung infection
pneumothoraxes	collapsed lungs
pneumothorax	collapsed lung
polyps	abnormal lumps that can sometimes be cancerous
potentiated	increasing effected of a drugged by administration of another drugged at the same
potentiate	increasing effect of a drug by administration of another drug at the same
potentiating	increasing effecting of a drugging by administration of another drugging at the same
potentiate	increasing effect of a drug by administration of another drug at the same
potentiated	increasing effected of a drugged by administration of another drugged at the same
potentiate	increasing effect of a drug by administration of another drug at the same
times	s
timed	
time	
timing	
time	
timed	
time	
potentiator	Agent that helps another agent work better
predictive valued	expected valued
predictive value	expected value
predictive valuing	expected valuing
predictive value	expected value
predictive valued	expected valued
predictive value	expected value
prenatal	before birth
prognoses	expected course of the diseases
prognosis	expected course of the disease
prone	to lie flat facing down; to lie on the stomach
prophylaxes	Drug given to prevent disease or infections
prophylaxis	Drug given to prevent disease or infection
prorated compensation	less if you do not complete the study
prospective studied	studied following patients forwarded in timed
prospective study	study following patients forward in time
prospective studying	studying following patients forwarding in timing
prospective study	study following patients forward in time
prospective studied	studied following patients forwarded in timed
prospective study	study following patients forward in time
prostheses	artificial limbss
prosthesis	artificial limbs
proximal	closer to the center of the body
psychosocial tested	tested of your behavior
psychosocial test	test of your behavior
psychosocial testing	testing of your behavior
psychosocial test	test of your behavior
psychosocial tested	tested of your behavior
psychosocial test	test of your behavior
pulmonary	lung
punctures	to make a holes
punctured	to made a holed
puncture	to make a hole
puncturing	to making a holing
puncture	to make a hole
punctured	to made a holed
puncture	to make a hole
pyelograms	a series of X-rays of the kidneyss
pyelogram	a series of X-rays of the kidneys
QD	every day
QID	four times a day
quantified	to measured
quantify	to measure
quantifying	to measuring
quantify	to measure
quantified	to measured
quantify	to measure
Page 8 of 11	
MEDICAL TERM	LAY TERMINOLOGY
radiation therapies	x-ray or cobalt treatments
radiation therapy	x-ray or cobalt treatment
radioactive isotope	a chemical or substance that gives off radiant energy rays similar to X-rays
randomly	like picking numbers out of a hat ; by chance
recombinant	formation of new combinations of genes
reconstitution	putting back together the original parts
recuperated	to get 
recuperate	to get better
recuperating	to get 
recuperate	to get better
recuperated	to get 
recuperate	to get better
recurred	happened again
recur	happen again
recurring	happening again
recur	happen again
recurred	happened again
recur	happen again
refractories	not responding to treatments
refractory	not responding to treatment
regenerations	regrowths of a structure or of lost tissue
regeneration	regrowth of a structure or of lost tissue
regimens	Patterns of administering treatment
regimen	Pattern of administering treatment
relapses	The return or reappearance of diseases
relapsed	The returned or reappearance of disease
relapse	The return or reappearance of disease
relapsing	The returning or reappearance of disease
relapse	The return or reappearance of disease
relapsed	The returned or reappearance of disease
relapse	The return or reappearance of disease
[You must indicated what you willed accept. ex:]--birth controlled pills, Norplant7	reliable method of birthed controlled
[You must indicate what you will accept. ex:]--birth control pills, Norplant7	reliable method of birth control
[You must indicating what you willing accept. ex:]--birth controlling pills, Norplant7	reliable method of birthing controlling
[You must indicate what you will accept. ex:]--birth control pills, Norplant7	reliable method of birth control
[You must indicated what you willed accept. ex:]--birth controlled pills, Norplant7	reliable method of birthed controlled
[You must indicate what you will accept. ex:]--birth control pills, Norplant7	reliable method of birth control
(levonorgestrel), Depo-Provera7 (medroxyprogesterone), intra-uterine	
device (IUD)	
remissions	disappearances of evidence of cancer or other disease
remission	disappearance of evidence of cancer or other disease
renal	kidney
rendered you ineligible	made you unable to participated
render you ineligible	make you unable to participate
rendering you ineligible	making you unable to participating
render you ineligible	make you unable to participate
rendered you ineligible	made you unable to participated
render you ineligible	make you unable to participate
replicable	capable of being duplicated
resect	removed or cut outed (surgically)
resect	remove or cut out (surgically)
resect	removing or cutting outing (surgically)
resect	remove or cut out (surgically)
resect	removed or cut outed (surgically)
resect	remove or cut out (surgically)
respiratory	breathing
retrospective studied	studied looking backed over past experienced
retrospective study	study looking back over past experience
retrospective studying	studying looking backing over past experiencing
retrospective study	study looking back over past experience
retrospective studied	studied looking backed over past experienced
retrospective study	study looking back over past experience
salines	salt water
saline	salt water
sarcomata	a type of cancers
sarcoma	a type of cancer
secretions	ones of the fluids made by the body
secretion	one of the fluids made by the body
sedations	to make drowsy/sleepies
sedation	to make drowsy/sleepy
seminomas	a type of testes cancers
seminoma	a type of testes cancer
sequentially	in a row
somnolences	sleepinesses
somnolence	sleepiness
spirometers	instruments to measure the amount of air taken into and exhaled from the
spirometer	instrument to measure the amount of air taken into and exhaled from the
lungs	
sputums	thick saliva; phlegms
sputum	thick saliva; phlegm
stagings	a determination of the extent of the diseases
staging	a determination of the extent of the disease
standard of cared	the usual treatment for the disease
standard of care	the usual treatment for the disease
standard of caring	the usual treatment for the disease
standard of care	the usual treatment for the disease
standard of cared	the usual treatment for the disease
standard of care	the usual treatment for the disease
stenoses	narrowings of a duct
stenosis	narrowing of a duct
stents	a metal (or plastic) tube placed inside a blood vessel that keeps it open toes
stent	a metal (or plastic) tube placed inside a blood vessel that keeps it open to
prevented blockage	
prevent blockage	
preventing blockage	
prevent blockage	
prevented blockage	
prevent blockage	
stomatitis	mouths sores; inflammation of the mouths
stomatitis	mouth sores; inflammation of the mouth
